Time Stamp;available_memory_MB;app_pss_MB;battery_level_percentage;battery_temperature_celcius;battery_current_now_milliamps;sensor_temperature_celcius;power_current;power_level_state;power_voltage;power_wattage;cpu_level;gpu_level;cpu_frequency_MHz;gpu_frequency_MHz;mem_frequency_MHz;minimum_vsyncs;extra_latency_mode;phase_sync_mode;average_frame_rate;display_refresh_rate;average_prediction_milliseconds;screen_tear_count;early_frame_count;stale_frame_count;maximum_rotational_speed_degrees_per_second;foveation_level;eye_buffer_width;eye_buffer_height;app_gpu_time_microseconds;timewarp_gpu_time_microseconds;guardian_gpu_time_microseconds;cpu_utilization_percentage;cpu_utilization_percentage_core0;cpu_utilization_percentage_core1;cpu_utilization_percentage_core2;cpu_utilization_percentage_core3;cpu_utilization_percentage_core4;cpu_utilization_percentage_core5;cpu_utilization_percentage_core6;cpu_utilization_percentage_core7;gpu_utilization_percentage;spacewarp_motion_vector_type;spacewarped_frames_per_second;app_vss_MB;app_rss_MB;app_dalvik_pss_MB;app_private_dirty_MB;app_private_clean_MB;app_uss_MB;stale_frames_consecutive;max_repeated_frames;avg_vertices_per_frame;avg_fill_percentage;avg_inst_per_frag;avg_inst_per_vert;avg_frag_inst_per_pixel;avg_vert_inst_per_pixel;avg_textures_per_frag;percent_time_shading_frags;percent_time_shading_verts;percent_time_compute;percent_vertex_fetch_stall;percent_texture_fetch_stall;percent_texture_l1_miss;percent_texture_l2_miss;percent_texture_nearest_filtered;percent_texture_linear_filtered;percent_texture_anisotropic_filtered;vrshell_average_frame_rate;vrshell_gpu_time_microseconds;vrshell_and_guardian_gpu_time_microseconds;render_scale;dynres_recommendation_percentage;dynres_recommendation_width;dynres_recommendation_height
46004;816;2690;37;40;9999;0;943;0;3689;3478;5;4;1478;525;2000;1;0;1;9;72;101;0;0;72;0;0;2304;2536;42871;1689;0;32;41;38;44;48;26;16;32;13;99;0;0;15820;2769;0;2620;54;2674;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
47004;816;2690;37;40;9999;0;1149;0;3689;4238;5;4;1478;525;2000;1;0;1;10;72;101;0;0;72;0;0;2304;2536;64583;1690;0;31;43;45;51;52;26;19;31;15;99;0;0;15820;2769;0;2620;54;2674;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
48004;816;2690;37;40;9999;0;1059;0;3689;3906;5;4;1478;525;2000;1;0;1;9;72;101;0;0;72;0;0;2304;2536;60331;1653;0;30;57;56;63;62;26;18;30;17;99;0;0;15820;2769;0;2620;54;2674;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
49004;816;2690;37;40;9999;0;1103;0;3689;4068;5;4;1478;525;2000;1;0;1;9;72;100;0;0;72;0;0;2304;2536;63934;1714;0;37;38;37;43;42;20;16;37;13;99;0;0;15820;2769;0;2620;54;2674;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
50004;816;2690;37;40;9999;0;1175;0;3689;4334;5;4;1478;525;2000;1;0;1;9;72;101;0;0;72;0;0;2304;2536;59625;1714;0;39;52;50;50;62;21;15;39;15;99;0;0;15820;2769;0;2620;54;2674;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
51004;816;2690;37;40;9999;0;1025;0;3689;3781;5;4;1478;525;2000;1;0;1;10;72;104;0;0;72;0;0;2304;2536;65535;1748;0;39;55;54;64;60;20;22;39;18;99;0;0;15820;2769;0;2620;54;2674;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
52004;816;2690;37;40;9999;0;1174;0;3676;4315;5;4;1478;525;2000;1;0;1;10;72;101;0;0;72;0;0;2304;2536;49842;1748;0;35;45;49;49;48;18;23;35;17;99;0;0;15820;2769;0;2620;54;2674;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
53004;816;2690;37;40;9999;0;929;0;3676;3415;5;4;1478;525;2000;1;0;1;9;72;101;0;0;72;0;0;2304;2536;14857;1726;0;32;57;55;59;57;21;32;30;15;99;0;0;15820;2769;0;2620;54;2674;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
54004;816;2690;37;40;9999;0;952;0;3696;3518;5;4;1478;525;2000;1;0;1;10;72;33;0;0;72;0;0;2304;2536;27712;1739;0;27;47;50;47;49;19;27;18;14;99;0;0;15820;2769;0;2620;54;2674;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
55005;816;2690;37;40;9999;0;998;0;3696;3688;5;4;1478;525;2000;1;0;1;11;72;52;0;0;72;0;0;2304;2536;65535;1683;0;15;47;50;49;49;10;11;15;14;99;0;0;15820;2769;0;2620;54;2674;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
56005;816;2690;37;40;9999;0;968;0;3692;3573;5;4;1478;525;1804;1;0;1;10;72;76;0;0;72;0;0;2304;2536;65535;1691;0;19;50;55;56;55;12;15;19;14;99;0;0;15820;2769;0;2620;54;2674;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
57005;816;2690;37;40;9999;0;931;0;3692;3437;5;4;1478;525;1804;1;0;1;10;72;75;0;0;72;0;0;2304;2536;65535;1670;0;17;43;40;39;43;11;17;15;14;99;0;0;15820;2769;0;2620;54;2674;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
58005;816;2690;37;40;9999;0;881;0;3692;3252;5;4;1478;525;1804;1;0;1;11;72;77;0;0;72;0;0;2304;2536;64040;1434;0;12;50;54;56;56;12;10;10;16;99;0;0;15820;2769;0;2620;54;2674;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
59054;593;2894;37;40;9999;0;1049;0;3692;3872;5;4;1478;525;1804;1;0;1;11;72;43;0;0;72;0;0;2304;2536;65535;1617;0;8;39;42;41;43;8;7;5;14;99;0;0;16010;2972;0;2824;54;2879;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
60005;593;2894;37;40;9999;0;1181;0;3692;4360;5;4;1478;525;1804;1;0;1;10;72;40;0;0;72;0;0;2304;2536;65535;1595;0;7;37;36;40;40;6;7;7;16;99;0;0;16010;2972;0;2824;54;2879;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
61005;593;2894;37;40;9999;0;992;0;3692;3662;5;4;1478;525;1804;1;0;1;10;72;41;0;0;72;0;0;2304;2536;35200;1784;0;15;48;45;50;55;11;10;15;15;99;0;0;16010;2972;0;2824;54;2879;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
62005;593;2894;37;40;9999;0;1046;0;3687;3856;5;4;1478;525;1804;1;0;1;15;72;70;0;5;63;0;0;2304;2536;26027;1675;0;13;46;49;50;48;13;13;12;16;86;0;0;16010;2972;0;2824;54;2879;61;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
